
#S 1
#N 10
#L photon energy [eV]  alpha [deg]  beta [deg]  size source V [um]  size [um]  source*M  footprint on grating [m]  C  resolving power 0.1  resolving power 0.5
250.000000   87.489830   86.042005   62.671855   11.750061   11.949706   0.042929   1.576034   7234.385451   13311.269230
368.421053   87.933085   86.740297   55.216354   10.312762   10.524529   0.043140   1.576577   6790.067325   12493.723878
486.842105   88.202333   87.164645   50.965779   9.500682   9.712628   0.043344   1.576856   6411.968256   11798.021592
605.263158   88.387961   87.457273   48.195279   8.974056   9.183660   0.043544   1.577026   6088.564919   11202.959451
723.684211   88.525870   87.674709   46.238182   8.603297   8.810095   0.043742   1.577140   5808.489083   10687.619913
842.105263   88.633530   87.844469   44.778715   8.327470   8.531568   0.043938   1.577222   5563.371342   10236.603269
960.526316   88.720594   87.981763   43.646894   8.113951   8.315599   0.044133   1.577284   5346.693375   9837.915810
1078.947368   88.792889   88.095775   42.742701   7.943624   8.143083   0.044326   1.577333   5153.328287   9482.124049
1197.368421   88.854169   88.192420   42.003293   7.804505   8.002019   0.044519   1.577371   4979.502111   9162.283884
1315.789474   88.906973   88.275700   41.387122   7.688690   7.884474   0.044710   1.577403   4822.144421   8872.745735
1434.210526   88.953091   88.348438   40.865588   7.590750   7.784988   0.044900   1.577430   4678.839285   8609.064285
1552.631579   88.993824   88.412685   40.418343   7.506827   7.699677   0.045090   1.577452   4547.605049   8367.593290
1671.052632   89.030145   88.469973   40.030503   7.434103   7.625700   0.045278   1.577471   4426.857000   8145.416880
1789.473684   89.062797   88.521476   39.690923   7.370471   7.560931   0.045468   1.577488   4315.276142   7940.108102
1907.894737   89.092359   88.568104   39.391094   7.314321   7.503745   0.045659   1.577503   4211.764297   7749.646307
2026.315789   89.119289   88.610582   39.124399   7.264406   7.452880   0.045848   1.577516   4115.354979   7572.253162
2144.736842   89.143955   88.649491   38.885618   7.219739   7.407340   0.046037   1.577527   4025.353132   7406.649763
2263.157895   89.166659   88.685305   38.670574   7.179534   7.366328   0.046225   1.577538   3941.047738   7251.527839
2381.578947   89.187648   88.718412   38.475888   7.143154   7.329200   0.046412   1.577547   3861.865189   7105.831948
2500.000000   89.207126   88.749138   38.298792   7.110077   7.295426   0.046598   1.577555   3787.309423   6968.649338
